,Movies,Year,Length
0,Tom Clancy's Without Remorse,2021,109m
1,The Mitchells vs. The Machines,2021,113m
2,Mortal Kombat,2021,110m
3,Things Heard & Seen,2021,121m
4,Voyagers,2021,108m
5,Demon Slayer the Movie: Mugen Train,2020,117m
6,Godzilla vs. Kong,2021,113m
7,Tom & Jerry,2021,90m
8,Nomadland,2020,108m
9,Justice Society: World War II,2021,N/A
10,The Virtuoso,2021,105m
11,Shadow in the Cloud,2020,83m
12,Nobody,2021,92m
13,Zack Snyder's Justice League,2021,242m
14,The Little Things,2021,127m
15,Skylines,2020,110m
16,Stowaway,2021,116m
17,Judas and the Black Messiah,2021,126m
18,Wonder Woman 1984,2020,151m
19,22 vs. Earth,2021,5m
20,Raya and the Last Dragon,2021,112m
21,Star Wars,1977,121m
22,Vanquish,2021,96m
23,Avengers: Endgame,2019,181m
24,Treasure Lies,2020,107m
25,Dark State,2021,93m
26,Jack Walker,2021,93m
27,Sitting in Limbo,2020,89m
28,Home Stay,2018,80m
29,The Psychic,2020,76m
30,How I Met Your Murderer,2021,N/A
31,The Lockdown Hauntings,2021,101m
32,The Bike Thief,2020,79m
33,Generation Por Que,2021,N/A
34,Adolescents of Chymera,2021,81m
35,The Darkness,2021,N/A
36,The Rise of Sir Longbottom,2021,73m
37,Mexican Moon,2021,84m
38,She was the Deputy's Wife,2021,95m
39,100m Criminal Conviction,2021,92m
40,Percy,2021,109m
41,The Mitchells vs. The Machines,2021,113m
42,Zombie with a Shotgun,2019,79m
43,Things Heard & Seen,2021,121m
44,Golden Arm,2021,90m
45,Bang! Bang!,2020,71m
46,Colors of Love,2021,110m
47,Three Pints and a Rabbi,2021,85m
